sample	group
PR01009.hap2	1
AG18356_6.hap2	2
AG16618_12.hap2	3
PR01227.hap2	4
AG18355_8.hap1	4
PR01225.hap2	4
PR00496A.hap2	5
PR00115.hap2	5
PR01010.hap2	6
PR01009.hap1	6
PR00834.hap1	7
PR00496A.hap1	8
PR00115.hap1	9
PR01225.hap1	9
AG18356_6.hap1	9
PR01100.hap1	9
AG18357_3.hap2	9
AG18355_8.hap2	9
AG18361_10.hap2	9
AG06939_13.hap1	9
PR01100.hap2	9
AG18354_5.hap1	9
AG16618_12.hap1	9
AG18358_4.hap1	9
PR01228.hap1	9
AG06939_13.hap2	9
AG18360_11.hap2	9
AG18359_7.hap1	9
AG18360_11.hap1	9
PR00838.hap2	9
AG18361_10.hap1	9
AG18353_9.hap1	9
PR00838.hap1	9
PR00834.hap2	9
PR00512.hap2	9
PR01228.hap2	9
PR01223.hap2	9
PR01008.hap2	10
PR01010.hap1	10
PR01008.hap1	10
PR00512.hap1	11
AG18354_5.hap2	11
AG18358_4.hap2	11
PR01227.hap1	11
AG18357_3.hap1	11
PR01223.hap1	11
AG18353_9.hap2	11
AG18359_7.hap2	11
